"Dat","Non Chofe","Moto (Plak)","Montan Peye (HTG)","Reta / Det (HTG)","Kiyes ki resevwa lajan an","Siyati Chofe","Siyati Manadje","Komante / Nòt"
"01/05/2026","Jean Pierre","AA-1234","1000","0","Panier Agaby Junior Duret","","","Peman a lè"
"02/05/2026","Jean Pierre","AA-1234","1000","0","Panier Agaby Junior Duret","","",""
"03/05/2026","Jean Pierre","AA-1234","0","1000","Panier Agaby Junior Duret","","","Li gen pwoblèm kawotchou, l ap peye demen"
"04/05/2026","Jean Pierre","AA-1234","2000","0","Panier Agaby Junior Duret","","","Li peye pou jodia ak yè a"
"01/05/2026","Marc Joseph","BB-5678","1000","0","Panier Agaby Junior Duret","","",""
"02/05/2026","Marc Joseph","BB-5678","1000","0","Panier Agaby Junior Duret","","",""
"03/05/2026","Marc Joseph","BB-5678","1000","0","Panier Agaby Junior Duret","","",""
"04/05/2026","Marc Joseph","BB-5678","1000","0","Panier Agaby Junior Duret","","",""
,,,,,,,,
,,,,,,,,
,,,,,,,,
